"gen","age","edu","emp","zone","count"
"maschio","(65,95]","superiori","inattivo","nord-est",0.0073489052875526
"maschio","(65,95]","superiori","inattivo","nord-ovest",0.00789778618039885
"maschio","(65,95]","superiori","inattivo","sud-isole",0.00896505458315545
"maschio","(65,95]","superiori","occupato","centro",0.000335427212294932
"maschio","(65,95]","superiori","occupato","nord-est",0.000884308105141184
"maschio","(65,95]","superiori","occupato","nord-ovest",0.00073184119046167
"maschio","(65,95]","superiori","occupato","sud-isole",0.00115874855156431
"femmina","(65,95]","laurea","disoccupato","centro",0
"femmina","(65,95]","laurea","disoccupato","nord-est",0
"femmina","(65,95]","nessuna / elementari / medie","disoccupato","nord-est",0
"femmina","(65,95]","superiori","disoccupato","nord-est",0
"maschio","(30,40]","laurea","inattivo","nord-est",0
"maschio","(30,40]","laurea","inattivo","nord-ovest",0
"maschio","(40,50]","laurea","inattivo","sud-isole",0
